layer,type,level,polytilesetname,polylayername,pointtilesetname,pointlayername,id,feature_id,wikidata_id,worldview,unit_code,name,name_en,names,description,source_date,iso_3166_1_alpha_3,iso_3166_1,grouping_attributes,join_attributes,parent_1,parent_2,parent_3,parent_4,z_min,area_sqkm,centroid,bounds
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401001,1661161,,all,01001,State House District 1,,,state house district,2019,USA,US,,,USLEG101,,,,3,658,"[-87.7412,34.8982]","[-87.9271,34.7905,-87.4292,35.0058]"
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401002,4610281,,all,01002,State House District 2,,,state house district,2019,USA,US,,,USLEG101,,,,3,1221,"[-87.4096,34.85]","[-87.7095,34.6973,-87.0903,35.0028]"
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401003,153833,,all,01003,State House District 3,,,state house district,2019,USA,US,,,USLEG101,,,,3,1095,"[-87.3804,34.6994]","[-87.7674,34.5662,-87.1051,34.8324]"
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401004,4151529,,all,01004,State House District 4,,,state house district,2019,USA,US,,,USLEG101,,,,3,1057,"[-86.9024,34.64]","[-87.1302,34.408,-86.6241,34.8713]"
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401005,5396713,,all,01005,State House District 5,,,state house district,2019,USA,US,,,USLEG101,,,,3,752,"[-86.9475,34.8427]","[-87.1226,34.688,-86.843,34.9972]"
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401006,5855465,,all,01006,State House District 6,,,state house district,2019,USA,US,,,USLEG101,,,,3,439,"[-86.8315,34.8418]","[-86.8782,34.6911,-86.6331,34.9923]"
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401007,3823849,,all,01007,State House District 7,,,state house district,2019,USA,US,,,USLEG101,,,,3,2436,"[-87.3844,34.4477]","[-87.7465,34.2068,-86.9878,34.6868]"
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401008,5265641,,all,01008,State House District 8,,,state house district,2019,USA,US,,,USLEG101,,,,3,262,"[-87.045,34.5165]","[-87.1094,34.4145,-86.9664,34.6186]"
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401009,2971881,,all,01009,State House District 9,,,state house district,2019,USA,US,,,USLEG101,,,,3,1187,"[-86.8952,34.3829]","[-87.1102,34.1824,-86.5261,34.5829]"
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401010,5200105,,all,01010,State House District 10,,,state house district,2019,USA,US,,,USLEG101,,,,3,436,"[-86.6776,34.6158]","[-86.7901,34.5013,-86.486,34.7305]"
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401011,3430633,,all,01011,State House District 11,,,state house district,2019,USA,US,,,USLEG101,,,,3,1608,"[-86.6599,34.1962]","[-86.8511,33.9179,-86.2797,34.4736]"
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401012,6510825,,all,01012,State House District 12,,,state house district,2019,USA,US,,,USLEG101,,,,3,1391,"[-86.9372,34.0535]","[-87.151,33.858,-86.7001,34.2483]"
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401013,4741353,,all,01013,State House District 13,,,state house district,2019,USA,US,,,USLEG101,,,,3,968,"[-87.1615,33.835]","[-87.428,33.6656,-86.787,34.0053]"
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401014,2775273,,all,01014,State House District 14,,,state house district,2019,USA,US,,,USLEG101,,,,3,3207,"[-87.4897,33.9096]","[-87.6362,33.5129,-86.9176,34.3044]"
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401015,3758313,,all,01015,State House District 15,,,state house district,2019,USA,US,,,USLEG101,,,,3,553,"[-87.0902,33.391]","[-87.1798,33.2431,-86.8302,33.5384]"
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401016,6904041,,all,01016,State House District 16,,,state house district,2019,USA,US,,,USLEG101,,,,3,4682,"[-87.8189,33.596]","[-88.2746,33.2584,-86.8701,33.9321]"
leg4,legislative,4,mapbox.boundaries-leg4-v3,boundaries_legislative_4,mapbox.boundaries-legPoints-v3,points_legislative_4,USLEG401017,678121,,all,01017,State House District 17,,,state house district,2019,USA,US,,,USLEG101,,,,3,3891,"[-87.9276,33.9662]","[-88.2472,33.6102,-87.2915,34.3211]"
