layer,type,level,polytilesetname,polylayername,pointtilesetname,pointlayername,id,feature_id,wikidata_id,worldview,unit_code,name,name_en,names,description,source_date,iso_3166_1_alpha_3,iso_3166_1,grouping_attributes,join_attributes,parent_1,parent_2,parent_3,parent_4,z_min,area_sqkm,centroid,bounds
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC101,17056489,,all,01,"Rochester, MN metro area",,,metropolitan area,2019,USA,US,,,,,,,1,9015,"[-92.5623,43.98]","[-93.046,43.5004,-91.7302,44.4553]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC102,57426665,,all,02,"Raleigh, NC metro area",,,metropolitan area,2019,USA,US,,,,,,,1,6868,"[-78.5886,35.762]","[-78.9951,35.2547,-78.0066,36.2662]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC103,62210793,,all,03,"Rapid City, SD metro area",,,metropolitan area,2019,USA,US,,,,,,,1,22674,"[-102.7851,44.3644]","[-104.0555,43.6851,-102,45.0397]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC104,17122025,,all,04,"Rochester, NY metro area",,,metropolitan area,2019,USA,US,,,,,,,1,11836,"[-77.4491,42.9195]","[-78.4664,42.4592,-76.7023,43.3763]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC105,62276329,,all,05,"Raymondville, TX micro area",,,metropolitan area,2019,USA,US,,,,,,,1,1900,"[-97.7222,26.4556]","[-98.0042,26.2993,-97.225,26.6118]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC106,62341865,,all,06,"Reading, PA metro area",,,metropolitan area,2019,USA,US,,,,,,,1,2948,"[-75.9297,40.4076]","[-76.4402,40.1371,-75.5297,40.6773]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC107,62407401,,all,07,"Red Bluff, CA micro area",,,metropolitan area,2019,USA,US,,,,,,,1,10045,"[-122.2124,40.1258]","[-123.066,39.7974,-121.3423,40.4531]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC108,62472937,,all,08,"Redding, CA metro area",,,metropolitan area,2019,USA,US,,,,,,,1,13175,"[-122.0188,40.7366]","[-123.0688,40.2854,-121.32,41.185]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC109,62538473,,all,09,"Red Wing, MN micro area",,,metropolitan area,2019,USA,US,,,,,,,1,2824,"[-92.7349,44.4552]","[-93.0412,44.1949,-92.242,44.7143]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10A,62604009,,all,0A,"Reno, NV metro area",,,metropolitan area,2019,USA,US,,,,,,,1,23262,"[-119.6547,40.5956]","[-120.0065,39.1655,-119.1705,41.9975]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10B,62669545,,all,0B,"Rexburg, ID micro area",,,metropolitan area,2019,USA,US,,,,,,,1,8546,"[-111.4535,44.1916]","[-112.1564,43.622,-111.047,44.755]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10C,62735081,,all,0C,"Richmond, IN micro area",,,metropolitan area,2019,USA,US,,,,,,,1,1366,"[-85.0171,39.8602]","[-85.2211,39.7148,-84.8108,40.0064]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10D,62800617,,all,0D,"Richmond, VA metro area",,,metropolitan area,2019,USA,US,,,,,,,1,14587,"[-77.5732,37.3605]","[-78.2407,36.7077,-76.6454,38.0082]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10E,62866153,,all,0E,"Richmond, KY micro area",,,metropolitan area,2019,USA,US,,,,,,,1,2291,"[-84.1134,37.7167]","[-84.5256,37.5153,-83.7217,37.9175]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10F,58213097,,all,0F,"Rio Grande City, TX micro area",,,metropolitan area,2019,USA,US,,,,,,,1,3575,"[-98.7859,26.5105]","[-99.1721,26.2352,-98.3207,26.7857]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10G,62931689,,all,0G,"Riverside, CA metro area",,,metropolitan area,2019,USA,US,,,,,,,1,86336,"[-116.0533,34.6263]","[-117.8025,33.4259,-114.1312,35.8092]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10H,62997225,,all,0H,"Riverton, WY micro area",,,metropolitan area,2019,USA,US,,,,,,,1,32799,"[-108.5719,43.1414]","[-110.0536,42.2614,-107.5014,44.0092]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10J,63062761,,all,0J,"Roanoke, VA metro area",,,metropolitan area,2019,USA,US,,,,,,,1,6181,"[-80.0473,37.2927]","[-80.4728,36.7808,-79.4987,37.801]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10K,63128297,,all,0K,"Roanoke Rapids, NC micro area",,,metropolitan area,2019,USA,US,,,,,,,1,4128,"[-77.5764,36.276]","[-78.0066,36.0036,-77.0662,36.5473]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10M,16990953,,all,0M,"Rochelle, IL micro area",,,metropolitan area,2019,USA,US,,,,,,,1,2664,"[-89.3136,42.0449]","[-89.6885,41.8855,-88.9389,42.2042]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10N,17187561,,all,0N,"Rockford, IL metro area",,,metropolitan area,2019,USA,US,,,,,,,1,2809,"[-89.0517,42.326]","[-89.4014,42.1503,-88.7054,42.5006]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10P,17253097,,all,0P,"Rockingham, NC micro area",,,metropolitan area,2019,USA,US,,,,,,,1,1520,"[-79.7277,34.9948]","[-80.0757,34.8052,-79.4588,35.1839]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10Q,13058793,,all,0Q,"Rock Springs, WY micro area",,,metropolitan area,2019,USA,US,,,,,,,1,36413,"[-108.9887,41.6372]","[-110.0544,40.9973,-107.5038,42.2707]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10R,13124329,,all,0R,"Rocky Mount, NC metro area",,,metropolitan area,2019,USA,US,,,,,,,1,3365,"[-77.7743,35.9394]","[-78.2572,35.6749,-77.3424,36.2026]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10S,13255401,,all,0S,"Rolla, MO micro area",,,metropolitan area,2019,USA,US,,,,,,,1,2216,"[-91.7751,37.878]","[-92.0294,37.5989,-91.525,38.1535]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10T,13320937,,all,0T,"Rome, GA metro area",,,metropolitan area,2019,USA,US,,,,,,,1,1627,"[-85.1945,34.3331]","[-85.4622,34.0791,-85.0052,34.5875]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10V,13386473,,all,0V,"Roseburg, OR micro area",,,metropolitan area,2019,USA,US,,,,,,,1,18010,"[-122.8901,43.3253]","[-124.2194,42.6993,-121.9742,43.9448]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10W,13452009,,all,0W,"Roswell, NM micro area",,,metropolitan area,2019,USA,US,,,,,,,1,18902,"[-104.3257,33.3081]","[-105.354,32.5188,-103.5098,34.0888]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10X,61883113,,all,0X,"San Francisco, CA metro area",,,metropolitan area,2019,USA,US,,,,,,,1,8211,"[-121.8863,37.7573]","[-123.108,37.107,-121.4692,38.3212]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10Y,13583081,,all,0Y,"Russellville, AR micro area",,,metropolitan area,2019,USA,US,,,,,,,1,5652,"[-93.0668,35.2376]","[-93.7103,34.7434,-92.8098,35.7288]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10Z,13648617,,all,0Z,"Ruston, LA micro area",,,metropolitan area,2019,USA,US,,,,,,,1,1456,"[-92.6415,32.6065]","[-92.8814,32.4528,-92.4151,32.76]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC110,13714153,,all,10,"Rutland, VT micro area",,,metropolitan area,2019,USA,US,,,,,,,1,3379,"[-73.0283,43.5757]","[-73.4312,43.2916,-72.7009,43.8581]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC1100,1852137,,all,100,"Jasper, AL micro area",,,metropolitan area,2019,USA,US,,,,,,,1,2517,"[-87.2766,33.7595]","[-87.6361,33.5129,-86.9536,34.0053]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC1101,5849833,,all,101,"Poughkeepsie, NY metro area",,,metropolitan area,2019,USA,US,,,,,,,1,5759,"[-73.7369,41.6136]","[-74.7626,41.143,-73.4873,42.0809]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC1102,82665,,all,102,"Spartanburg, SC metro area",,,metropolitan area,2019,USA,US,,,,,,,1,2594,"[-81.9803,34.8886]","[-82.2266,34.5802,-81.7116,35.1962]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC1103,1786601,,all,103,"Granbury, TX micro area",,,metropolitan area,2019,USA,US,,,,,,,1,1344,"[-97.8168,32.3961]","[-98.0685,32.2335,-97.6153,32.5588]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC1104,5980905,,all,104,"Scottsburg, IN micro area",,,metropolitan area,2019,USA,US,,,,,,,1,640,"[-85.7483,38.6973]","[-85.8884,38.5613,-85.57,38.8318]"
