layer,type,level,polytilesetname,polylayername,pointtilesetname,pointlayername,id,feature_id,wikidata_id,worldview,unit_code,name,name_en,names,description,source_date,iso_3166_1_alpha_3,iso_3166_1,grouping_attributes,join_attributes,parent_1,parent_2,parent_3,parent_4,z_min,area_sqkm,centroid,bounds
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP300,1582825,,all,00,,,,2-digit postcode area,2018,USA,US,,,,,,,0,0,"[-73.0467,40.8168]","[-73.0469,40.8167,-73.0446,40.8171]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP301,1517289,,all,01,,,,2-digit postcode area,2018,USA,US,,,,,,,0,19888,"[-72.3233,42.4438]","[-73.5082,41.9977,-70.5728,42.8868]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP302,1451753,,all,02,,,,2-digit postcode area,2018,USA,US,,,,,,,0,12097,"[-71.1711,41.9055]","[-71.8865,41.1464,-69.9288,42.5035]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP303,1386217,,all,03,,,,2-digit postcode area,2018,USA,US,,,,,,,0,35087,"[-71.5381,44.0374]","[-72.5571,42.697,-70.5756,45.3477]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP304,1320681,,all,04,,,,2-digit postcode area,2018,USA,US,,,,,,,0,117728,"[-69.0354,45.3974]","[-71.0833,43.2568,-66.9496,47.4599]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP305,1255145,,all,05,,,,2-digit postcode area,2018,USA,US,,,,,,,0,33805,"[-72.7757,43.8856]","[-73.4312,42.7269,-71.464,45.021]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP306,1189609,,all,06,,,,2-digit postcode area,2018,USA,US,,,,,,,0,17258,"[-72.8052,41.5196]","[-73.7278,40.9805,-71.7527,42.0505]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP307,4400873,,all,07,,,,2-digit postcode area,2018,USA,US,,,,,,,0,8778,"[-74.515,40.9476]","[-75.1356,40.0989,-73.9027,41.3574]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP308,4335337,,all,08,,,,2-digit postcode area,2018,USA,US,,,,,,,0,16739,"[-74.6721,39.8655]","[-75.5713,38.9286,-74.0256,40.7899]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP310,6235881,,all,10,,,,2-digit postcode area,2018,USA,US,,,,,,,0,5169,"[-74.1051,41.1657]","[-74.6076,40.4962,-73.4827,41.5885]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP311,6170345,,all,11,,,,2-digit postcode area,2018,USA,US,,,,,,,0,4692,"[-73.0981,40.8529]","[-74.0419,40.5429,-71.8563,41.2068]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP312,6104809,,all,12,,,,2-digit postcode area,2018,USA,US,,,,,,,0,60547,"[-73.9091,43.1925]","[-75.1824,41.3175,-73.2416,45.0107]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP313,6039273,,all,13,,,,2-digit postcode area,2018,USA,US,,,,,,,0,57729,"[-75.5925,43.4511]","[-76.9635,41.8575,-74.446,45.0129]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP314,5973737,,all,14,,,,2-digit postcode area,2018,USA,US,,,,,,,0,42922,"[-77.8762,42.6889]","[-79.7621,41.9942,-76.2696,43.3763]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP315,5908201,,all,15,,,,2-digit postcode area,2018,USA,US,,,,,,,0,33309,"[-79.0459,40.7082]","[-80.5399,39.7145,-77.9885,41.6874]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP316,5842665,,all,16,,,,2-digit postcode area,2018,USA,US,,,,,,,0,48467,"[-79.7124,41.4535]","[-80.5194,40.0262,-76.5953,42.2693]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP317,5711593,,all,17,,,,2-digit postcode area,2018,USA,US,,,,,,,0,39019,"[-76.8792,40.7264]","[-78.5184,39.7198,-75.8389,41.718]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP318,2631401,,all,18,,,,2-digit postcode area,2018,USA,US,,,,,,,0,25832,"[-75.6742,41.0826]","[-76.7805,40.1514,-74.6895,42.0059]"
